Allahabad College Of Engineering And Management, Allahabad
St. Vincent Palloti College, Nagpur
Tirpude Institute of Management Education, Nagpur
VNIT, Nagpur
Yashoda Public Higher Secondary School, Nagpur
Amity University, Noida
Army Institute Of Management And Technology, Noida
Galgotias College of Engineering and Technology, Noida
GL Bajaj Institute of technology and management, Noida
ITS Engineering College, Noida
JRE Group of Institutions, Noida
JSS Academy Of Technical Education, Noida, Noida
MGM College of Engineering and Technology , Noida
Noida Institute of Engineering and Technology, Noida
Shiv Nadar University , Noida
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT, PARALAKHEMUNDI
Lakshay Chopra studying at Thapar University, Patiala
Admerit College, Patna
Amity Global Business School, Patna
Arcade Business College, Patna, Patna
Bihar National College, Patna
Birla Institute of Technology, Patna, Patna
CIMAGE, Patna
Indian Institute of Technology Patna, Patna
INTERNATIONAL BUSINESS COLLEGE, Patna
LNM Institute of Economic Development and Social Change, Patna
Magadh Mahila College, Patna
National Institute of Technology, Patna, Patna
Patna Science College, Patna
Patna Womens College, Patna
R.P. Sharma Institute of Technology, Patna
Usha Martin Academy, Patna
Vanijya Mahavidyaleya, Patna university, Patna
Birla Institute of Technology and Science, Pilani
BITS Pilani, Pilani
Pondicherry University, Pondicherry
School of Management, Pondicherry University, Pondicherry
.MKSSSÃ¢Â€Â™s Cummins College of Engineering for Women, Pune
AISSMS College of Engineering, Pune
Allana institute of management sciences,Pune, Pune
College of Engineering, Pune, Pune
Dhole Patil  College of Engineering, Pune
DPSS Foresight College of Commerce, Pune, Pune
DY Patil College of Engineeriing, Pune
International Institute of Information Technology, Pune, Pune
Maharashtra Institute of Technology, Pune
Pimpri Chinchwad College of Engineering, Pune
Pune Institute of Computer Technology, Pune
Shahu College, Pune
Sinhgad College of Engineering, Pune
Sinhgad Institute of Management, Pune
Smt. Kashibai Navale College of Engineering, Pune
Symbiosis Institute of International Business, Pune
TSSM Bhivarabai Sawant College of Engineering and Research, Pune, Pune
Vishwakarma Institute of Management, Pune
Vishwakarma Institute of Technology, Pune
Kirodimal Institute of Technology, Raigarh
O.P JINDAL UNIVERSITY, Raigarh
AVS Presidency International College, Raipur
Bhilai Institute Of Technology, Raipur
Disha college of Engg. & Management, Raipur
Government Engineering College, Raipur
IIM Raipur, Raipur
IIT Bhilai, Raipur
ITM University, Raipur
Kruti Institute of Technology and Engineering, Raipur
MATS University, Raipur
National Institute of Technology, Raipur, Raipur
Raipur Institute of Technology, Raipur
Rungta College of Engg., Raipur
Rungta College of Engg. & Technology, Raipur
SHRI SHANKARACHARYA TECHNICAL CAMPUS , Raipur
GIET college of engineering, Rajamundry
LATE SHREE S.G DHOLAKIYA MEMO. HIGH SCHOOL, Rajkot
Chitkara Institute of Engineering and Technology , Rajpura
Amity University Ranchi, Ranchi
BIRLA INSTITUTE OF TECHNOLOGY, Ranchi
Birla Institute of Technology, Mesra, Ranchi
Birsa Institute of Technology Sindri , Ranchi
Central University of Jharkhand, Ranchi
Doranda College, Ranchi
Gossner College, Ranchi
ICFAI university, jharkhand (IUJ), Ranchi
IIM Ranchi, Ranchi
Institute of Management Studies, Ranchi University, Ranchi
Marwari College Ã¢Â€Âƒ, Ranchi
Ranchi College, Ranchi
Usha Martin Academy, Ranchi
Xavier Institute of Social Service, Ranchi
Indian Institute of Technology, Ropar, Ropar
IIT Rorkee, Rorkee
NIT Rourkela, Rourkela
Surendra Institute of Engineering & Management, Siliguri
National Institute of Food Technology Entrepreneurship and Management, Sonipat
 aditya institute of technology and management, Srikakulam
Aditya Institute of technology and management, Srikakulam
JNTU College of Engineering , Sultanpur
Kamla Nehru Institute of Technology, Sultanpur
Kmala Nehru Institute of Technology, Sultanpur
AURO University, Surat
C. K. Pithawala College of Engineering and Technology, Surat
Sardar Vallabhbhai National Institute of Technology, Surat
Sarvajanik College of Engineering and Technology, Surat
Tamralipta Mahavidyalay, Tamluk
Siddaganga Institute of Technology, Tumkur, Tumkur
Udalguri College, Udalguri
Manipal Institute of Technology
, Udupi
BHU Banaras, Varanasi
School of Management Sciences, Varanasi, Varanasi
Andhra Loyola Institute, Vijayawada
Dhanekula Institute of Engineering and Technology, Vijayawada
Gudlavalleru Engineering College is actually, Vijayawada
Lakireddy Bali Reddy College of Engineering , Vijayawada
NRI Institute of Technology, Vijayawada
Pb Siddhartha College of Arts and Sciences, Vijayawada
Prasad V Potluri Siddhartha Institute of Technology, Vijayawada
PSCMR College of Engineering & Technology, Vijayawada
SRK Institute of Technology, Vijayawada
V R Siddhartha College of Engineering, Vijayawada
Aditya Degree College, Visakhapatnam
Andhra University College of Engineering, Visakhapatnam
Anil Neerukonda Institute of Technology and Sciences, Visakhapatnam
AQJ PG College, Visakhapatnam
B.V. K. College, Visakhapatnam
BITS, Vizag, Visakhapatnam
Dr.L.Bullayya College, Visakhapatnam
Gandhi Institute of Technology and Management, Visakhapatnam
Gayatri Vidya Parishad, Visakhapatnam
Gonna institute of Information Technology and sciences(GIITS), Visakhapatnam
Prism College, Visakhapatnam
Raghu Engineering College, Visakhapatnam
Raghu Jr. College, Visakhapatnam
Sanketika Vidya Parishad College, Visakhapatnam
Vignan Institute Of Information Technology. Duvvada , Visakhapatnam
Lendi institute of Engineering and Technology, Vizianagaram
M.V.G.R.College Of Engineering, Vizianagaram
Alluri Institute Of Management Sciences, Warangal
CHRISTHU JYOTHI INSTITUTE OF TECHNOLOGY & SCIENCES, Warangal
National Institute of Technology, Warangal, Warangal
S R Engineering College, Warangal
SVS Engineering College, Warangal
LDC institute of technical studies, Allahabad
B.B.S. College of Engineering and Technology, Allahabad
Vatsalya Institute of Nursing and Para Medical Sciences, Allahabad
Chatrapati Shivaji Maharaj college of engineering , Allahabad
motilal nehru medical college, Allahabad
Devprayag institute of technical studies, Allahabad
UPRTOU School of Computer and Information Sciences, Allahabad
Sadanlal Sanwaldas Khanna Girls degree college, Allahabad
xyz inst of technology, Allahabad
Shambhunath institute of pharmacy, Allahabad
Shambhunath institute of management, Allahabad
Maharana Pratap Polytechnic, Gorakhpur
Dr. Samuel george institute of engg & tech, Markapur
united institute of management, Allahabad
KIET GROUP OF INSTITUTIONS ., Ghaziabad
United institute of management(FUGS), Allahabad
Institute of Management Studies(IMS), Ghaziabad
ICSI, Hyderabad
SMSIT, Lucknow
Muzaffarpur institute of technology, Muzaffarpur
SCRIET, CCS University, Meerut
Techno India NJR, Udaipur
Noida International University, Noida
Allahabad Public School, Allahabad
Symbiosis Centre for Management Studies, Noida
HARI INSTITUTE OF TECHNOLOGY, NAKUR, SAHARANPUR
Sanskar International School, Allahabad
Vishnu Bhagwan Public School and College, Jhalwa, Allahabad
Vaagdevi Engineering College, Bollikunta, Warangal
Neerja Modi School, Jaipur
Jaypee Institute of Information Technology, Noida
TALLA PADMAVATHI COLLEGE OF ENGINEERING, Warangal
Institute of Management Sciences (IMS), Lucknow
IIT BHU, Varanasi
Techno India University, Kolkata
VIT University, Vellore
BIET, Jhansi
Galaxy Global Group of Institutions, Ambala
SRIMT, Lucknow
Regent Education and Research Foundation, Barrackpore
Isabella Thoburn college, Lucknow
Professional, Agartala
Professional, Professional
Professional, Allahabad
Galgotia Institute of management and technology, Noida
Gautam Buddha University, Noida
Central University of South Bihar, Gaya
Ramjas College, Delhi
ABES Engineering College, Ghaziabad
Rajiv Gandhi Institute of Petroleum Technology, Rae Bareli
Kamla Nehru Institute of physical and social sciences, Sultanpur
